"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W09";"CH061";"Y45T49";"T";"P";2
"2021-W09";"CH061";"Y45T49";"F";"P";1
"2021-W09";"CH061";"Y45T49";"M";"P";1
"2021-W09";"CH061";"Y50T54";"T";"P";1
"2021-W09";"CH061";"Y50T54";"M";"P";1
"2021-W09";"CH061";"Y55T59";"T";"P";1
"2021-W09";"CH061";"Y55T59";"F";"P";1
"2021-W09";"CH061";"Y60T64";"T";"P";1
"2021-W09";"CH061";"Y60T64";"M";"P";1
"2021-W09";"CH061";"Y65T69";"T";"P";2
"2021-W09";"CH061";"Y65T69";"M";"P";2
"2021-W09";"CH061";"Y70T74";"T";"P";8
"2021-W09";"CH061";"Y70T74";"F";"P";4
"2021-W09";"CH061";"Y70T74";"M";"P";4
"2021-W09";"CH061";"Y75T79";"T";"P";5
"2021-W09";"CH061";"Y75T79";"F";"P";1
"2021-W09";"CH061";"Y75T79";"M";"P";4
"2021-W09";"CH061";"Y80T84";"T";"P";6
"2021-W09";"CH061";"Y80T84";"F";"P";1
"2021-W09";"CH061";"Y80T84";"M";"P";5
"2021-W09";"CH061";"Y85T89";"T";"P";14
"2021-W09";"CH061";"Y85T89";"F";"P";8
"2021-W09";"CH061";"Y85T89";"M";"P";6
"2021-W09";"CH061";"Y_GE90";"T";"P";15
"2021-W09";"CH061";"Y_GE90";"F";"P";10
"2021-W09";"CH061";"Y_GE90";"M";"P";5
"2021-W09";"CH062";"_T";"T";"P";2
"2021-W09";"CH062";"_T";"F";"P";1
"2021-W09";"CH062";"_T";"M";"P";1
"2021-W09";"CH062";"Y_GE90";"T";"P";2
"2021-W09";"CH062";"Y_GE90";"F";"P";1
"2021-W09";"CH062";"Y_GE90";"M";"P";1
"2021-W09";"CH063";"_T";"T";"P";26
"2021-W09";"CH063";"_T";"F";"P";12
"2021-W09";"CH063";"_T";"M";"P";14
"2021-W09";"CH063";"Y70T74";"T";"P";4
"2021-W09";"CH063";"Y70T74";"F";"P";1
"2021-W09";"CH063";"Y70T74";"M";"P";3
"2021-W09";"CH063";"Y75T79";"T";"P";7
"2021-W09";"CH063";"Y75T79";"F";"P";2
"2021-W09";"CH063";"Y75T79";"M";"P";5
"2021-W09";"CH063";"Y80T84";"T";"P";4
"2021-W09";"CH063";"Y80T84";"F";"P";4
"2021-W09";"CH063";"Y85T89";"T";"P";6
"2021-W09";"CH063";"Y85T89";"F";"P";3
"2021-W09";"CH063";"Y85T89";"M";"P";3
"2021-W09";"CH063";"Y_GE90";"T";"P";5
"2021-W09";"CH063";"Y_GE90";"F";"P";2
"2021-W09";"CH063";"Y_GE90";"M";"P";3
"2021-W09";"CH064";"_T";"T";"P";7
"2021-W09";"CH064";"_T";"F";"P";3
"2021-W09";"CH064";"_T";"M";"P";4
"2021-W09";"CH064";"Y55T59";"T";"P";1
"2021-W09";"CH064";"Y55T59";"M";"P";1
"2021-W09";"CH064";"Y60T64";"T";"P";1
"2021-W09";"CH064";"Y60T64";"F";"P";1
"2021-W09";"CH064";"Y85T89";"T";"P";2
"2021-W09";"CH064";"Y85T89";"M";"P";2
