"date","geoRegion","altersklasse_covid19","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202108,"GR","40 - 49",201,"altersklasse_covid19",26347,1438,0.76,0.71,5.46,188,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.059,5.9
202109,"GR","40 - 49",121,"altersklasse_covid19",26347,1559,0.46,NA,5.92,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.032,3.2
202110,"GR","40 - 49",165,"altersklasse_covid19",26347,1724,0.63,NA,6.54,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.037,3.7
202111,"GR","40 - 49",154,"altersklasse_covid19",26347,1878,0.58,NA,7.13,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.049,4.9
202052,"GR","50 - 59",0,"altersklasse_covid19",31658,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202053,"GR","50 - 59",0,"altersklasse_covid19",31658,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"GR","50 - 59",63,"altersklasse_covid19",31658,63,0.2,NA,0.2,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.099,9.9
202102,"GR","50 - 59",286,"altersklasse_covid19",31658,349,0.9,0.53,1.1,167.86,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.151,15.1
202103,"GR","50 - 59",275,"altersklasse_covid19",31658,624,0.87,0.74,1.97,234,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.152,15.2
202104,"GR","50 - 59",218,"altersklasse_covid19",31658,842,0.69,0.88,2.66,280,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.071,7.1
202105,"GR","50 - 59",333,"altersklasse_covid19",31658,1175,1.05,1.01,3.71,321,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.151,15.1
202106,"GR","50 - 59",463,"altersklasse_covid19",31658,1638,1.46,0.97,5.17,307.43,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.126,12.6
202107,"GR","50 - 59",322,"altersklasse_covid19",31658,1960,1.02,1,6.19,316,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.116,11.6
202108,"GR","50 - 59",350,"altersklasse_covid19",31658,2310,1.11,1.02,7.3,323.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.103,10.3
202109,"GR","50 - 59",191,"altersklasse_covid19",31658,2501,0.6,NA,7.9,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.051,5.1
202110,"GR","50 - 59",335,"altersklasse_covid19",31658,2836,1.06,NA,8.96,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.075,7.5
202111,"GR","50 - 59",272,"altersklasse_covid19",31658,3108,0.86,NA,9.82,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.087,8.7
202052,"GR","60 - 69",0,"altersklasse_covid19",25798,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202053,"GR","60 - 69",0,"altersklasse_covid19",25798,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"GR","60 - 69",56,"altersklasse_covid19",25798,56,0.22,NA,0.22,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.088,8.8
202102,"GR","60 - 69",169,"altersklasse_covid19",25798,225,0.66,0.52,0.87,134,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.089,8.9
